site_id,source_network,name,latitude,longitude,elevation_m,state,country,start_date,end_date,metadata
akr02,coagmet,Akron,40.1548,-103.142,1383,CO,USA,1992-07-01,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.2, ""elevation"": 1383, ""firstObs"": ""1992-07-01"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 40.1548, ""location"": ""USDA-ARS-GPRC"", ""lon"": -103.142, ""name"": ""Akron"", ""network"": ""Coag"", ""station"": ""akr02"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""akr02""}"
alt01,coagmet,Ault,40.569,-104.7195,1497,CO,USA,1992-03-17,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1497, ""firstObs"": ""1992-03-17"", ""irrigation"": ""part"", ""lastObs"": ""2026-05-09"", ""lat"": 40.569, ""location"": ""1 mi SE Ault"", ""lon"": -104.7195, ""name"": ""Ault"", ""network"": ""Coag"", ""station"": ""alt01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""alt01""}"
avn01,coagmet,Avondale,38.2056,-104.329,1411,CO,USA,1992-06-04,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1411, ""firstObs"": ""1992-06-04"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 38.2056, ""location"": ""1 mi SE Avondale"", ""lon"": -104.329, ""name"": ""Avondale"", ""network"": ""Coag"", ""station"": ""avn01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""avn01""}"
bla01,coagmet,Blanca,37.3906,-105.5575,2359,CO,USA,1997-02-24,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 2359, ""firstObs"": ""1997-02-24"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 37.3906, ""location"": ""8 mi SW Blanca"", ""lon"": -105.5575, ""name"": ""Blanca"", ""network"": ""Coag"", ""station"": ""bla01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""bla01""}"
bnv01,coagmet,Buena Vista,38.8315,-106.129,2408,CO,USA,2010-10-12,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 2408, ""firstObs"": ""2010-10-12"", ""irrigation"": ""part"", ""lastObs"": ""2026-05-09"", ""lat"": 38.8315, ""location"": ""CDW Area SW of Buena Vista"", ""lon"": -106.129, ""name"": ""Buena Vista"", ""network"": ""Coag"", ""station"": ""bnv01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""bnv01""}"
brg01,coagmet,Briggsdale,40.5947,-104.319,1481,CO,USA,2002-01-01,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1481, ""firstObs"": ""2002-01-01"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 40.5947, ""location"": ""3 mi S Briggsdale"", ""lon"": -104.319, ""name"": ""Briggsdale"", ""network"": ""Coag"", ""station"": ""brg01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""brg01""}"
brk01,coagmet,Bedrock,38.3279,-108.8546,1516,CO,USA,2013-11-07,2024-12-17,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1516, ""firstObs"": ""2013-11-07"", ""irrigation"": ""dry"", ""lastObs"": ""2024-12-17"", ""lat"": 38.3279, ""location"": ""1 mile NE of Bedrock"", ""lon"": -108.8546, ""name"": ""Bedrock"", ""network"": ""Coag"", ""station"": ""brk01"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""brk01""}"
brl01,coagmet,Burlington North (1),39.4998,-102.074,1189,CO,USA,1992-05-06,2012-01-11,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1189, ""firstObs"": ""1992-05-06"", ""irrigation"": ""part"", ""lastObs"": ""2012-01-11"", ""lat"": 39.4998, ""location"": ""18 mi NNE Burlington"", ""lon"": -102.074, ""name"": ""Burlington North (1)"", ""network"": ""Coag"", ""station"": ""brl01"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""brl01""}"
brl02,coagmet,Burlington South (2),39.2651,-102.109,1271,CO,USA,1992-01-01,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1271, ""firstObs"": ""1992-01-01"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 39.2651, ""location"": ""6 mi SE Burlington"", ""lon"": -102.109, ""name"": ""Burlington South (2)"", ""network"": ""Coag"", ""station"": ""brl02"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""brl02""}"
brl03,coagmet,Burlington 3,39.3374,-102.196,1240,CO,USA,2007-11-30,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1240, ""firstObs"": ""2007-11-30"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 39.3374, ""location"": ""4 mi NE of Burlington"", ""lon"": -102.196, ""name"": ""Burlington 3"", ""network"": ""Coag"", ""station"": ""brl03"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""brl03""}"
cbl01,coagmet,Carbondale,39.3623,-107.2078,1918,CO,USA,2015-05-08,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1918, ""firstObs"": ""2015-05-08"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 39.3623, ""location"": ""Carbondale"", ""lon"": -107.2078, ""name"": ""Carbondale"", ""network"": ""Coag"", ""station"": ""cbl01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""cbl01""}"
cbn01,coagmet,Collbran,39.1993,-107.9899,1998,CO,USA,2018-03-30,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 3.0, ""elevation"": 1998, ""firstObs"": ""2018-03-30"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 39.1993, ""location"": ""3 mi SW of Collbran"", ""lon"": -107.9899, ""name"": ""Collbran"", ""network"": ""Coag"", ""station"": ""cbn01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""cbn01""}"
ccr01,coagmet,Cherry Creek Reservoir,39.6059,-104.834,1717,CO,USA,2019-07-25,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1717, ""firstObs"": ""2019-07-25"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 39.6059, ""location"": ""2 miles south of Cherry Creek Res "", ""lon"": -104.834, ""name"": ""Cherry Creek Reservoir"", ""network"": ""Coag"", ""station"": ""ccr01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""ccr01""}"
cdg01,coagmet,Cedaredge,38.9142,-107.932,1952,CO,USA,2006-02-18,2015-05-07,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1952, ""firstObs"": ""2006-02-18"", ""irrigation"": ""full"", ""lastObs"": ""2015-05-07"", ""lat"": 38.9142, ""location"": ""Cedaredge"", ""lon"": -107.932, ""name"": ""Cedaredge"", ""network"": ""Coag"", ""station"": ""cdg01"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""cdg01""}"
cht01,coagmet,Chatfield at South Platte Reservoir,39.5741,-105.054,1650,CO,USA,2019-12-04,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 3.0, ""elevation"": 1650, ""firstObs"": ""2019-12-04"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 39.5741, ""location"": ""1.2 mi north of Chatfield Res"", ""lon"": -105.054, ""name"": ""Chatfield at South Platte Reservoir"", ""network"": ""Coag"", ""station"": ""cht01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""cht01""}"
ckp01,coagmet,Cherokee Park,40.8263,-105.267,1815,CO,USA,2014-07-25,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1815, ""firstObs"": ""2014-07-25"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 40.8263, ""location"": ""1 mile west of US 287 on Road 80C"", ""lon"": -105.267, ""name"": ""Cherokee Park"", ""network"": ""Coag"", ""station"": ""ckp01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""ckp01""}"
clk01,coagmet,Clark,40.7043,-106.934,2201,CO,USA,2018-04-25,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 3.0, ""elevation"": 2201, ""firstObs"": ""2018-04-25"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 40.7043, ""location"": ""1 mile WSW of Clark"", ""lon"": -106.934, ""name"": ""Clark"", ""network"": ""Coag"", ""station"": ""clk01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""clk01""}"
